File Name,"Pixels"
"01_inv (1).png",57.28991815123726
"01_inv (2).png",387.3088828938829
"01_inv (3).png",308.9229392045004
"01_inv (4).png",1057.4608898158915
"02_inv (5).png",58.53344447805644
"02_inv (6).png",338.19711802781103
"02_inv (7).png",263.3249594580535
"02_inv (8).png",1115.151249174867
"03_inv (9).png",61.54982094069226
"03_inv (10).png",352.08326112068545
"03_inv (11).png",275.17871555019093
"03_inv (12).png",1075.9038093464471
"04_inv (13).png",56.23764063717965
"04_inv (14).png",363.92139852448156
"04_inv (15).png",311.468917863623
"04_inv (16).png",1080.7251481382048
"05_inv (17).png",49.42266736710059
"05_inv (18).png",335.06470152674416
"05_inv (19).png",301.1676807762882
"05_inv (20).png",1061.988215271228
"06_inv (21).png",46.974007352765724
"06_inv (22).png",389.50045599981416
"06_inv (23).png",337.04461187709836
"06_inv (24).png",1200.7825137701595
"07_inv (25).png",55.08907573371469
"07_inv (26).png",404.2782782638281
"07_inv (27).png",306.6971691585969
"07_inv (28).png",1086.7068707194044
"08_inv (29).png",55.20167541177256
"08_inv (30).png",360.69431460803924
"08_inv (31).png",249.4861618063254
"08_inv (32).png",1058.4270943045567
"09_inv (33).png",46.24319010383343
"09_inv (34).png",341.72846263445774
"09_inv (35).png",305.95742708990616
"09_inv (36).png",1017.9327341251421
"10_inv (37).png",50.57980229760711
"10_inv (38).png",380.50516677470983
"10_inv (39).png",324.3392536515422
"10_inv (40).png",1072.535755661858
