DB_ID,bird_ID
1300,1300
1301,1301
1302,1302
1304,1304
1305,1305
1307,1307
1310,1310
1316,1316
1320,1320
1326,1326
1331,1331
1332,1332
1333,1333
1334,1334
1336,1336
1339,1339
1341,1341
1345,1345
1346,1346
1347,1347
1348,1348
1351,1351
1353,1353
1357,1357
1359,1359
1360,1360
1361,1361
1364,1364
1367,1367
1368,1368
1369,1369
1371,1371
1372,1372
1375,1375
1377,1377
1378,1378
1379,1379
1380,1380
1381,1381
1382,1382
1383,1383
1384,1384
1385,1385
1386,1386
1395,1395
1398,1398
1399,1399
1651,1651
1654,1654
1659,1659
1669,1669
1681,1681
1682,1682
1687,1687
1689,1689
320,320
382,382
7 -04 - 105,704105
952,952
AIF AO 15  011,AIFAO15-11
AIF AO 16 507,AIFAO16507
AO 2712-16-49-B 6.5,AO27121649
AO 2712-16-49-B 6.5,1649
AO 3999-18-3-NL 6.5,AO3999183
AO 414-17-3-NL 6.5,AO414-17-3-NL
AO 414-17-5-NL 6.5,AO414-17-5
AO 5938-18-30-NL 6.5,AO59381830
AO 7422-18-1-NL 6.5,AO7422181NL
AO 7956-16-54-NL 6.5,AO79561654
AO 7956-16-56-NL 6.5,AO7956-17-18
AO 7956-16-56-NL 6.5,AO79561656
CZ 6.5 005,CZ005
G14-0223-B5.0,G14223
G17-0267-B5.0,G17267
G20-0055-B6.5,G200055
G20-0056-B6.5,G200056
G20-0059-B6.5,G200059
G20-0060-B6.5,G200060
G20-0061-B6.5,G200061
G20-0062-B6.5,G200062
G20-0063-B6.5,G200063
G20-0064-B6.5,G200064
G20-0065-B6.5,G200065
G20-0067-B6.5,G200067
G20-0068-B6.5,G200068
G20-0069-B6.5,G200069
G20-0070-B6.5,G200070
G20-0071-B6.5,G200071
G20-0073-B6.5,G200073
G20-0529-B6.5,G200529
G20-0531-B6.5,G200531
G20-0532-B6.5,G200532
